model,seed,val/top1
res34,s2,0.3052400052547455
vitbs,s1,0.4763599932193756
effb3,s1,0.0639199987053871
effb3,s2,0.0587799996137619
res50,s2,0.3330000042915344
effb3,s3,0.0610600002110004
vitbs,s2,0.4724200069904327
res34,s1,0.2994399964809418
vitbs,s3,0.4763399958610534
res50,s3,0.333620011806488
res34,s3,0.3050599992275238
res50,s1,0.3381200134754181
