model,seed,val/top1
res34,s2,0.5291399955749512
vitbs,s1,0.4246000051498413
effb3,s1,0.5707200169563293
effb3,s2,0.5567200183868408
res50,s2,0.5187199711799622
effb3,s3,0.5748199820518494
vitbs,s2,0.4202199876308441
res34,s1,0.5263400077819824
vitbs,s3,0.1141000017523765
res50,s3,0.5188599824905396
res34,s3,0.5290200114250183
res50,s1,0.5218200087547302
