model,seed,val/top1
vitbs,s1,0.4903599917888641
effb3,s1,0.2855800092220306
effb3,s2,0.2675999999046325
res50,s2,0.3104400038719177
effb3,s3,0.2707999944686889
vitbs,s2,0.4862200021743774
vitbs,s3,0.4922400116920471
res50,s3,0.30867999792099
res50,s1,0.3109399974346161
