model,seed,val/top1
vitbs,s1,0.4785999953746795
effb3,s1,0.6101400256156921
effb3,s2,0.5929399728775024
res50,s2,0.5505599975585938
effb3,s3,0.6075000166893005
vitbs,s2,0.4781399965286255
vitbs,s3,0.486840009689331
res50,s3,0.5416399836540222
res50,s1,0.5519000291824341
