model,p,seed,val/top1
vitbs,1,s1,0.4800600111484527
vitbs,10,s2,0.4990000128746032
vitbs,1,s3,0.4754799902439117
vitbs,6,s1,0.5115399956703186
vitbs,6,s3,0.5119600296020508
vitbs,6,s2,0.5049600005149841
vitbs,10,s1,0.5054399967193604
vitbs,10,s3,0.5028799772262573
vitbs,1,s2,0.4737400114536285
