model,seed,val/top1
res34,s2,0.2854000031948089
vitbs,s1,0.4996199905872345
effb3,s1,0.1999000012874603
effb3,s2,0.181659996509552
res50,s2,0.3490400016307831
effb3,s3,0.1904399991035461
vitbs,s2,0.497979998588562
res34,s1,0.2827799916267395
vitbs,s3,0.5019199848175049
res50,s3,0.3485600054264068
res34,s3,0.2874999940395355
res50,s1,0.3532800078392029
