model,seed,t,val/top1
vitbs,s3,100,0.492000013589859
vitbs,s1,100,0.4866000115871429
vitbs,s2,1000,0.4830999970436096
vitbs,s2,100,0.4860999882221222
vitbs,s3,1000,0.4921199977397918
vitbs,s1,1000,0.4896599948406219
