model,seed,val/top1
vitbs,s1,0.4656600058078766
effb3,s1,0.2572000026702881
effb3,s2,0.2289399951696396
res50,s2,0.3041200041770935
effb3,s3,0.2410999983549118
vitbs,s2,0.4630599915981293
vitbs,s3,0.4668999910354614
res50,s3,0.3011800050735473
res50,s1,0.3042599856853485
